nruf2,ppgf2,dcfsn,pyear,total,nr_score,pol_score,le_score,pop_score,nr_remaining_pct,max_pol,le_late,pop_2100_B,crash_ratio
0.5,0.1,2.0,1985,0.7152608230371627,0.8531167347224798,0.6951070432924769,1.0,0.05425235264367811,25.593502041674395,3.829357740245139,77.31087749774103,0.6069390416146967,0.35754729173028976
0.25,0.15,4.0,2005,0.7149930641546169,0.7458683889926497,0.3857774822342911,0.941029416684511,1.0,22.376051669779493,5.685335106594254,56.46176500107066,8.529740782593546,1.0
0.5,0.15,2.0,1985,0.7141935571770511,0.8532116167768147,0.6914489128814179,1.0,0.05423211627160385,25.59634850330444,3.8513065227114933,77.29865561366348,0.6068191393283613,0.3574845469220299
0.1,0.15,4.0,1995,0.7141169445610528,1.0,0.04705648187017608,1.0,1.0,32.08629972150654,7.717661108778944,69.06878699624059,11.002407589355395,1.0
0.5,0.25,2.0,1985,0.7117502175266925,0.8534400576314842,0.6830590244010131,1.0,0.054189933569127005,25.603201728944526,3.901645853593922,77.27403581533177,0.6065697601630607,0.357353347483458
0.25,0.25,4.0,1995,0.7111549350620331,0.7270038369079701,0.357118785157431,0.9978397829850709,1.0,21.810115107239103,5.857287289055414,59.870386979104254,8.944908612352535,1.0
0.5,0.1,4.0,1995,0.7109783650418172,0.5805470895419332,0.7132249174840575,0.7190970422846162,1.0,17.416412686257996,3.720650495095655,43.145822537076974,6.226237784436907,1.0
0.25,0.25,4.0,2005,0.7106818205863065,0.753708801827859,0.3689558908186855,0.9309848635047504,1.0,22.611264054835768,5.786264655087887,55.85909181028502,8.436512806276857,1.0
0.5,0.25,4.0,1975,0.7103044325985387,0.5633661244179246,0.7145354033071483,0.7438283403006031,1.0,16.900983732537735,3.71278758015711,44.62970041803619,6.386187200170415,1.0
0.5,0.15,4.0,1995,0.710115490144774,0.582875228580819,0.7085949988268536,0.7176533024671563,1.0,17.486256857424568,3.7484300070388783,43.05919814802938,6.2114489724516835,1.0
0.5,0.25,4.0,1995,0.707806249517891,0.5879718001467578,0.6971336626655809,0.7143801033342573,1.0,17.639154004402734,3.817198024006515,42.86280620005544,6.177394603324973,1.0
